AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
181230009,Indiana Dept. of Environmental Management,-5,2024-10-24 21:00:00 GMT-5,,33,33,33,1,,Leopold,Active,1729821600000,628435014,Permanent,-9640629.69104257,4595705.724225113
080450012,Colorado Department of Public Health and Environment,-7,2024-10-24 19:00:00 GMT-7,50,42,42,42,1,PPB,Rifle Ozone,Active,1729821600000,628435015,Permanent,-11998471.46156975,4799579.752998384
540939991,EPA Office of Atmospheric Protection,-5,2024-10-24 21:00:00 GMT-5,,28,28,28,1,,Parsons,Active,1729821600000,628435016,Permanent,-8867899.879726522,4734643.224064719
TT0328801,Catawba Indian Nation,-5,2024-10-24 21:00:00 GMT-5,21,27,27,27,1,PPB,Catawba Indian Nation,Active,1729821600000,628435019,Permanent,-9002884.001831101,4152014.239729299
240170010,Maryland Department of the Environment,-5,2024-10-24 21:00:00 GMT-5,26,29,29,29,1,PPB,Southern Maryland,Active,1729821600000,628435021,Permanent,-8550661.260905378,4650899.269169248
060750005,San Francisco Bay Area AQMD,-8,2024-10-24 18:00:00 GMT-8,35,33,33,33,1,PPB,San Francisco,Active,1729821600000,628435025,Permanent,-13625260.77021694,4546393.832330721
370119991,EPA Office of Atmospheric Protection,-5,2024-10-24 21:00:00 GMT-5,,,ND,-999,1,,Cranberry,Active,1729821600000,628435028,Permanent,-9133252.149930447,4315189.07138773
450450016,South Carolina DES,-5,2024-10-24 21:00:00 GMT-5,28,33,33,33,1,PPB,Hillcrest,Active,1729821600000,628435036,Permanent,-9156773.847015575,4130202.8372269096
421174000,Pennsylvania Dept. of Environmental Protection,-5,2024-10-24 21:00:00 GMT-5,26,24,24,24,1,PPB,Tioga County,Active,1729821600000,628435037,Permanent,-8564832.566041835,5107904.9219625695
180050007,Indiana Dept. of Environmental Management,-5,2024-10-24 21:00:00 GMT-5,19,21,21,21,1,PPB,Hope,Active,1729821600000,628435045,Permanent,-9547521.512345621,4763918.790086141
060132007,San Francisco Bay Area AQMD,-8,2024-10-24 18:00:00 GMT-8,33,30,30,30,1,PPB,San Ramon,Active,1729821600000,628435050,Permanent,-13573651.718451291,4543275.041330776
300710010,Montana DEQ,-7,2024-10-24 19:00:00 GMT-7,,,ND,-999,1,,Malta,Active,1729821600000,628435051,Permanent,-12007195.347424237,6159840.17512576
390870012,Ohio EPA-DAPC,-5,2024-10-24 21:00:00 GMT-5,18,23,23,23,1,PPB,ODOT Ironton,Active,1729821600000,628435052,Permanent,-9201591.296647929,4651456.050659403
500030004,Vermont Air Quality & Climate Division,-5,2024-10-24 21:00:00 GMT-5,21,25,25,25,1,PPB,Bennington,Active,1729821600000,628435055,Permanent,-8154119.527399033,5294863.998265358
061113001,Ventura County APCD,-8,2024-10-24 18:00:00 GMT-8,40,45,45,45,1,PPB,El Rio - Rio Mesa School #2,Active,1729821600000,628435056,Permanent,-13262958.129091335,4062742.393946642
060390004,San Joaquin Valley Unified APCD,-8,2024-10-24 18:00:00 GMT-8,,39,39,39,1,,Madera - Pump Yard,Active,1729821600000,628435063,Permanent,-13359452.090100763,4420570.566447211
840061072003,California Air Resources Board,-8,2024-10-24 18:00:00 GMT-8,,48,48,48,1,,Visalia - W Ashland Avenue,Active,1729821600000,628435064,Permanent,-13281851.27306877,4343105.599868442
840180430008,Indiana Dept. of Environmental Management,-5,2024-10-24 21:00:00 GMT-5,12,19,19,19,1,PPB,New Albany - 4H Road,Active,1729821600000,628435072,Permanent,-9554919.249106288,4624418.083370922
482210001,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,39,34,34,34,1,PPB,Granbury C73,Active,1729821600000,628435077,Permanent,-10887413.553901773,3821457.6751779215
000062501,Ontario Ministry of the Environment,-5,2024-10-24 21:00:00 GMT-5,,21,21,21,1,,Tiverton,Active,1729821600000,628435078,Permanent,-9078073.52737302,5514237.122163568
131210055,Georgia Department of Natural Resources,-5,2024-10-24 21:00:00 GMT-5,,23,23,23,1,,United Ave,Active,1729821600000,628435079,Permanent,-9390667.340440813,3991346.8493647478
060831025,Santa Barbara County Air Pollution Control District,-8,2024-10-24 18:00:00 GMT-8,61,74,74,74,1,PPB,Las Flores Canyon,Active,1729821600000,628435082,Permanent,-13363437.32787116,4094747.8458081596
270953051,Minnesota Pollution Control Agency,-6,2024-10-24 20:00:00 GMT-6,,,ND,-999,1,,Mille Lacs,Active,1729821600000,628435085,Permanent,-10437193.005337456,5813358.202268924
040213007,Pinal County Air Quality Control District,-7,2024-10-24 19:00:00 GMT-7,33,32,32,32,1,PPB,Pinal Air Park,Active,1729821600000,628435091,Permanent,-12390756.560387142,3830220.463104968
080691004,Colorado Department of Public Health and Environment,-7,2024-10-24 19:00:00 GMT-7,48,46,46,46,1,PPB,Fort Collins - CSU - 708 S. Mason St.,Active,1729821600000,628435093,Permanent,-11697385.30086271,4950060.116640299
TPCD0054T,Thailand Pollution Control Department,7,2024-10-25 09:00:00 GMT+7,,,ND,-999,1,,National Housing Authority Dindaeng,Active,1729821600000,628435103,Permanent,11193197.063161816,1546984.7354333461
000100111,Metro Vancouver,-8,2024-10-24 18:00:00 GMT-8,,,ND,-999,1,,Rocky Point Park,Active,1729821600000,628435107,Permanent,-13675507.048776299,6322647.406817616
